op_id	desc	proc	level
1	legion_python_main <1>	Python Processor 0x1d00000000000003	2
28	Task Operation <28>		
34	Task Operation <34>		
39	Task Operation <39>		
40	Task Operation <40>		
8	legate::numpy::FillTask [CPU] <8>	CPU Processor 0x1d00000000000002	2
12	legate::numpy::FillTask [CPU] <12>	CPU Processor 0x1d00000000000002	2
13	legate::numpy::FillTask [CPU] <13>	CPU Processor 0x1d00000000000002	2
23	legate::numpy::FusedOpTask [CPU] <23>	CPU Processor 0x1d00000000000002	2
35	legate::numpy::FusedOpTask [CPU] <35>	CPU Processor 0x1d00000000000002	2
0	Operation <0>		
3	Tunable Operation <3>		
5	Tunable Operation <5>		
6	legate::numpy::FillTask [CPU] <6>	CPU Processor 0x1d00000000000002	2
7	Merge Close Operation <7>		
11	Merge Close Operation <11>		
10	legate::numpy::FillTask [CPU] <10>	CPU Processor 0x1d00000000000002	2
14	legate::numpy::FillTask [CPU] <14>	CPU Processor 0x1d00000000000002	2
15	Attach Operation <15>		
16	Merge Close Operation <16>		
17	Attach Operation <17>		
18	Merge Close Operation <18>		
19	Attach Operation <19>		
20	Merge Close Operation <20>		
21	Attach Operation <21>		
22	Merge Close Operation <22>		
24	Merge Close Operation <24>		
36	Merge Close Operation <36>		
37	Merge Close Operation <37>		
38	Mapping Operation <38>		
50	Deletion Operation <50>		
51	Deletion Operation <51>		
52	Deletion Operation <52>		
53	Deletion Operation <53>		
54	Deletion Operation <54>		
55	Deletion Operation <55>		
56	Deletion Operation <56>		
57	Deletion Operation <57>		
58	Deletion Operation <58>		
9	Merge Close Operation <9>		
4	Tunable Operation <4>		
25	Attach Operation <25>		
27	Attach Operation <27>		
30	Attach Operation <30>		
32	Attach Operation <32>		
41	Fence Operation <41>		
42	Detach Operation <42>		
43	Detach Operation <43>		
44	Detach Operation <44>		
45	Detach Operation <45>		
46	Detach Operation <46>		
47	Detach Operation <47>		
48	Detach Operation <48>		
49	Detach Operation <49>		
29	Merge Close Operation <29>		
33	Merge Close Operation <33>		
26	Merge Close Operation <26>		
31	Merge Close Operation <31>		
